1400 Stock,1400 Max,1080 Stock,1080 Max,4k Stock,4k Max
83.6,86.2,114.6,117.9,72.6,75.3
76.3,77.9,101.1,104.3,62.9,65.4
97.7,100.9,136.9,141.5,92.8,94.6
74.6,76.5,98,101.3,62.8,65.2
54.2,64.5,80,84.5,56.7,35.1
