1400 Stock,1400 Max,1080 Stock,1080 Max,4k Stock,4k Max
131,135.3,175.4,179.5,74.2,74.2
102.1,104.6,121.7,119.6,61.5,61.5
211.1,216.9,311.2,305.9,111.5,110.9
99.9,102.2,110.6,111.7,61.6,61.7
44.7,43.3,42.7,43.4,44,43.2
