1400 Stock,1400 Max,1080 Stock,1080 Max,4k Stock,4k Max
94.7,97.1,116.9,119.9,49.3,50
72.9,74.8,85.7,87.3,40.1,41.3
132.9,118.5,151.9,156.7,61.1,61.5
72.9,75.1,86,87.9,40.3,41.6
69.2,67.1,78.4,80.9,39.2,39.4
